url,класс,код,в sitemap,lastmod,разрешён robots,robots-мета,canonical,hreflang,глубина от /,входящих ссылок,title
https://rusofacilapp.com/es,корень локали,200,да,,да,,на себя,3,0,977,Aprende ruso online — RusoFácilapp
https://rusofacilapp.com/ru,корень локали,200,да,,да,,на себя,3,0,938,RusoFácilapp — учите русский язык на испанском
https://rusofacilapp.com/es/courses,каталог курсов,200,да,,да,,на себя,3,1,977,Curso de ruso online — Niveles A1 a B2 | RusoFácilapp
https://rusofacilapp.com/es/download,прочее: download,200,нет,,да,"noindex, follow",на себя,3,1,977,La app de RusoFácilapp | RusoFácilapp
https://rusofacilapp.com/es/pricing,прочее: pricing,200,да,,да,,на себя,3,1,977,Planes y precios | RusoFácilapp
https://rusofacilapp.com/es/courses/b1,страница уровня,200,да,,да,,на себя,3,1,32,Curso de ruso B1 · Intermedio | RusoFácilapp
https://rusofacilapp.com/es/courses/b2,страница уровня,200,да,,да,,на себя,3,1,32,Curso de ruso B2 · Intermedio alto | RusoFácilapp
https://rusofacilapp.com/es/vocabulary,каталог словаря,200,да,,да,,на себя,3,1,977,"Vocabulario ruso por temas, con traducción | RusoFácilapp"
https://rusofacilapp.com/es/stories,каталог рассказов,200,да,2026-08-27T15:52:14.607Z,да,,на себя,3,1,326,Cuentos en ruso con audio y traducción | RusoFácilapp
https://rusofacilapp.com/es/word-games,хаб игр,200,да,2026-09-04T21:03:17.832Z,да,,на себя,3,1,88,Juegos de palabras en ruso por niveles | RusoFácilapp
https://rusofacilapp.com/es/courses/a1,страница уровня,200,да,,да,,на себя,3,1,32,Curso de ruso A1 · Principiante | RusoFácilapp
https://rusofacilapp.com/ru/courses,каталог курсов,200,да,,да,,на себя,3,1,938,Курсы русского языка | RusoFácilapp
https://rusofacilapp.com/es/terms,прочее: terms,200,да,,да,,на себя,3,1,977,Términos de Servicio | RusoFácilapp
https://rusofacilapp.com/es/sobre-nosotros,прочее: sobre-nosotros,200,да,,да,,на себя,3,1,977,Sobre RusoFácilapp | RusoFácilapp
https://rusofacilapp.com/es/glossary,каталог глоссария,200,да,2026-08-29T18:32:11.585Z,да,,на себя,3,1,977,Glosario de gramática rusa en español | RusoFácilapp
https://rusofacilapp.com/ru/pricing,прочее: pricing,200,да,,да,,на себя,3,1,938,Тарифы и цены | RusoFácilapp
https://rusofacilapp.com/ru/courses/b1,страница уровня,200,да,,да,,на себя,3,1,32,Курс русского языка B1 · Средний | RusoFácilapp
https://rusofacilapp.com/ru/courses/a2,страница уровня,200,да,,да,,на себя,3,1,32,Курс русского языка A2 · Элементарный | RusoFácilapp
https://rusofacilapp.com/ru/courses/a1,страница уровня,200,да,,да,,на себя,3,1,32,Курс русского языка A1 · Начальный | RusoFácilapp
https://rusofacilapp.com/ru/vocabulary,каталог словаря,200,да,,да,,на себя,3,1,938,Русские слова по темам: карточки с озвучкой | RusoFácilapp
https://rusofacilapp.com/ru/courses/b2,страница уровня,200,да,,да,,на себя,3,1,32,Курс русского языка B2 · Выше среднего | RusoFácilapp
https://rusofacilapp.com/ru/stories,каталог рассказов,200,да,2026-08-27T15:52:14.607Z,да,,на себя,3,1,326,Библиотека рассказов и сказок | RusoFácilapp
https://rusofacilapp.com/ru/download,прочее: download,200,нет,,да,"noindex, follow",на себя,3,1,938,Приложение RusoFácilapp | RusoFácilapp
https://rusofacilapp.com/ru/sobre-nosotros,прочее: sobre-nosotros,200,да,,да,,на себя,3,1,938,О проекте RusoFácilapp | RusoFácilapp
https://rusofacilapp.com/ru/terms,прочее: terms,200,да,,да,,на себя,3,1,938,Условия использования | RusoFácilapp
https://rusofacilapp.com/ru/word-games,хаб игр,200,да,2026-09-04T21:03:17.832Z,да,,на себя,3,1,84,"Игры со словами по русскому языку, по уровням | RusoFácilapp"
https://rusofacilapp.com/ru/privacy,прочее: privacy,200,да,,да,,на себя,3,1,938,Политика конфиденциальности | RusoFácilapp
https://rusofacilapp.com/ru/glossary,каталог глоссария,200,да,2026-08-29T18:32:11.585Z,да,,на себя,3,1,938,Глоссарий русской грамматики на испанском | RusoFácilapp
https://rusofacilapp.com/es/courses/b1/1,урок,200,да,2026-08-17T22:46:46.476Z,да,,на себя,3,2,9,"Verbos de movimiento: ir y venir en ruso — lección 1, nivel B1"
https://rusofacilapp.com/es/courses/b1/3,урок,200,да,2026-08-17T22:46:46.704Z,да,,на себя,3,2,10,Expresar opiniones y estar de acuerdo o en desacuerdo — lección 3 (B1)
https://rusofacilapp.com/es/courses/b1/2,урок,200,да,2026-08-17T22:46:46.601Z,да,,на себя,3,2,11,"Casos rusos: dativo e instrumental en contexto — lección 2, nivel B1"
https://rusofacilapp.com/es/courses/b1/4,урок,200,да,2026-08-17T22:46:46.837Z,да,,на себя,3,2,9,"El mundo laboral y los estudios — lección 4, nivel B1 | RusoFácilapp"
https://rusofacilapp.com/es/courses/b1/7,урок,200,да,2026-08-17T22:46:47.155Z,да,,на себя,3,2,9,"Cultura y costumbres rusas — lección 7, nivel B1 | RusoFácilapp"
https://rusofacilapp.com/es/courses/b1/8,урок,200,да,2026-08-17T22:46:47.286Z,да,,на себя,3,2,11,"Escribir correos y mensajes formales — lección 8, nivel B1"
https://rusofacilapp.com/es/privacy,прочее: privacy,200,да,,да,,на себя,3,1,977,Política de Privacidad | RusoFácilapp
https://rusofacilapp.com/es/courses/b1/9,урок,200,да,2026-08-17T22:46:54.016Z,да,,на себя,3,2,7,Verbos de movimiento con prefijo при-/у-: llegar y partir
